Number of Cars,Flux Marker Position,Traffic Light Time,Average Flux
1,,100,0.015
1,,100,0.015
1,,100,0.015
2,,100,0.03
2,,100,0.03
2,,100,0.03
3,,100,0.045
3,,100,0.045
3,,100,0.045
4,,100,0.05875
4,,100,0.06
4,,100,0.05875
5,,100,0.075
5,,100,0.0725
5,,100,0.07375
6,,100,0.09
6,,100,0.08875
6,,100,0.09
7,,100,0.105
7,,100,0.105
7,,100,0.10375
8,,100,0.11875
8,,100,0.11875
8,,100,0.12
9,,100,0.135
9,,100,0.13125
9,,100,0.135
10,,100,0.145
10,,100,0.1475
10,,100,0.14875
11,,100,0.15875
11,,100,0.16375
11,,100,0.16125
12,,100,0.17
12,,100,0.17375
12,,100,0.175
13,,100,0.18625
13,,100,0.17625
13,,100,0.18
14,,100,0.19375
14,,100,0.19125
14,,100,0.1975
15,,100,0.20625
15,,100,0.20375
15,,100,0.2025
16,,100,0.21625
16,,100,0.2125
16,,100,0.21625
17,,100,0.2275
17,,100,0.22375
17,,100,0.22625
18,,100,0.23625
18,,100,0.24
18,,100,0.23625
19,,100,0.25
19,,100,0.24875
19,,100,0.24875
20,,100,0.2625
20,,100,0.26
20,,100,0.2575
21,,100,0.27
21,,100,0.27375
21,,100,0.2725
22,,100,0.28375
22,,100,0.28375
22,,100,0.2825
23,,100,0.29
23,,100,0.2875
23,,100,0.29
24,,100,0.30625
24,,100,0.29875
24,,100,0.29875
25,,100,0.315
25,,100,0.3125
25,,100,0.3125
26,,100,0.32375
26,,100,0.325
26,,100,0.325
27,,100,0.3275
27,,100,0.33625
27,,100,0.33125
28,,100,0.3425
28,,100,0.3475
28,,100,0.34
29,,100,0.34625
29,,100,0.345
29,,100,0.3525
30,,100,0.3475
30,,100,0.355
30,,100,0.36
31,,100,0.35875
31,,100,0.35875
31,,100,0.355
32,,100,0.3575
32,,100,0.3575
32,,100,0.365
33,,100,0.35875
33,,100,0.35125
33,,100,0.365
34,,100,0.35125
34,,100,0.33875
34,,100,0.3575
35,,100,0.35
35,,100,0.35875
35,,100,0.36375
36,,100,0.345
36,,100,0.3575
36,,100,0.36
37,,100,0.3525
37,,100,0.3675
37,,100,0.365
38,,100,0.35125
38,,100,0.35375
38,,100,0.35375
39,,100,0.3575
39,,100,0.345
39,,100,0.35375
40,,100,0.36125
40,,100,0.355
40,,100,0.3625
41,,100,0.355
41,,100,0.36875
41,,100,0.35125
42,,100,0.34375
42,,100,0.34875
42,,100,0.36
43,,100,0.35875
43,,100,0.36125
43,,100,0.355
44,,100,0.35875
44,,100,0.35125
44,,100,0.36875
45,,100,0.35375
45,,100,0.36125
45,,100,0.35875
46,,100,0.3625
46,,100,0.35125
46,,100,0.36125
47,,100,0.35125
47,,100,0.3525
47,,100,0.35375
48,,100,0.36
48,,100,0.3575
48,,100,0.3575
49,,100,0.35875
49,,100,0.36
49,,100,0.34875
50,,100,0.34625
50,,100,0.37125
50,,100,0.365
51,,100,0.36125
51,,100,0.3675
51,,100,0.35625
52,,100,0.36
52,,100,0.36375
52,,100,0.36125
53,,100,0.3575
53,,100,0.35875
53,,100,0.36375
54,,100,0.3425
54,,100,0.355
54,,100,0.355
55,,100,0.36375
55,,100,0.3525
55,,100,0.35125
56,,100,0.365
56,,100,0.35375
56,,100,0.35625
57,,100,0.35375
57,,100,0.36
57,,100,0.365
58,,100,0.36375
58,,100,0.3525
58,,100,0.3525
59,,100,0.36875
59,,100,0.36125
59,,100,0.35625
60,,100,0.3575
60,,100,0.35125
60,,100,0.3625
61,,100,0.35625
61,,100,0.36125
61,,100,0.34875
62,,100,0.3625
62,,100,0.35875
62,,100,0.36
63,,100,0.3625
63,,100,0.36125
63,,100,0.35625
64,,100,0.3675
64,,100,0.3625
64,,100,0.365
65,,100,0.35125
65,,100,0.355
65,,100,0.35625
66,,100,0.3625
66,,100,0.35125
66,,100,0.35625
67,,100,0.35625
67,,100,0.3575
67,,100,0.3625
68,,100,0.36625
68,,100,0.35625
68,,100,0.36
69,,100,0.36875
69,,100,0.37
69,,100,0.35875
70,,100,0.3525
70,,100,0.36
70,,100,0.37
71,,100,0.37125
71,,100,0.35625
71,,100,0.365
72,,100,0.36125
72,,100,0.35
72,,100,0.36625
73,,100,0.36375
73,,100,0.36625
73,,100,0.3675
74,,100,0.3725
74,,100,0.37
74,,100,0.37625
75,,100,0.3625
75,,100,0.365
75,,100,0.36375
76,,100,0.36375
76,,100,0.36625
76,,100,0.37125
77,,100,0.34875
77,,100,0.36875
77,,100,0.35625
78,,100,0.355
78,,100,0.37
78,,100,0.3675
79,,100,0.35625
79,,100,0.36625
79,,100,0.36
80,,100,0.36625
80,,100,0.36625
80,,100,0.36125
81,,100,0.37
81,,100,0.3725
81,,100,0.3675
82,,100,0.36375
82,,100,0.3625
82,,100,0.36875
83,,100,0.36875
83,,100,0.3625
83,,100,0.36125
84,,100,0.35875
84,,100,0.3625
84,,100,0.36125
85,,100,0.36625
85,,100,0.36
85,,100,0.36375
86,,100,0.365
86,,100,0.36875
86,,100,0.3575
87,,100,0.3525
87,,100,0.3575
87,,100,0.35375
88,,100,0.35875
88,,100,0.3575
88,,100,0.3575
89,,100,0.35875
89,,100,0.35875
89,,100,0.3425
90,,100,0.345
90,,100,0.35
90,,100,0.3525
91,,100,0.35375
91,,100,0.3575
91,,100,0.36375
92,,100,0.36
92,,100,0.35375
92,,100,0.3525
93,,100,0.3425
93,,100,0.3575
93,,100,0.355
94,,100,0.3475
94,,100,0.335
94,,100,0.3525
95,,100,0.35375
95,,100,0.35125
95,,100,0.36
96,,100,0.35
96,,100,0.36625
96,,100,0.3525
97,,100,0.3575
97,,100,0.345
97,,100,0.35
98,,100,0.35
98,,100,0.3425
98,,100,0.34
99,,100,0.345
99,,100,0.3475
99,,100,0.35
100,,100,0.345
100,,100,0.34625
100,,100,0.3375
101,,100,0.3325
101,,100,0.34125
101,,100,0.345
102,,100,0.3425
102,,100,0.34875
102,,100,0.335
103,,100,0.34125
103,,100,0.325
103,,100,0.3375
104,,100,0.3325
104,,100,0.3375
104,,100,0.335
105,,100,0.345
105,,100,0.345
105,,100,0.335
106,,100,0.33625
106,,100,0.325
106,,100,0.33
107,,100,0.3275
107,,100,0.32875
107,,100,0.33875
108,,100,0.33375
108,,100,0.32875
108,,100,0.33125
109,,100,0.33375
109,,100,0.325
109,,100,0.31625
110,,100,0.31375
110,,100,0.32125
110,,100,0.30625
111,,100,0.30875
111,,100,0.31625
111,,100,0.30875
112,,100,0.31625
112,,100,0.32875
112,,100,0.32375
113,,100,0.31375
113,,100,0.3075
113,,100,0.325
114,,100,0.30875
114,,100,0.29875
114,,100,0.305
115,,100,0.305
115,,100,0.305
115,,100,0.30875
116,,100,0.31
116,,100,0.31
116,,100,0.3075
117,,100,0.305
117,,100,0.30875
117,,100,0.30375
118,,100,0.29875
118,,100,0.2975
118,,100,0.29875
119,,100,0.3025
119,,100,0.2975
119,,100,0.29875
120,,100,0.30375
120,,100,0.2975
120,,100,0.30125
121,,100,0.29
121,,100,0.2875
121,,100,0.28625
122,,100,0.2925
122,,100,0.28625
122,,100,0.30125
123,,100,0.28875
123,,100,0.28125
123,,100,0.2925
124,,100,0.29
124,,100,0.285
124,,100,0.28625
125,,100,0.28125
125,,100,0.28125
125,,100,0.2825
126,,100,0.28
126,,100,0.28
126,,100,0.28125
127,,100,0.28
127,,100,0.275
127,,100,0.275
128,,100,0.27125
128,,100,0.27
128,,100,0.2675
129,,100,0.275
129,,100,0.265
129,,100,0.27125
130,,100,0.27
130,,100,0.265
130,,100,0.26625
131,,100,0.2625
131,,100,0.26125
131,,100,0.265
132,,100,0.25125
132,,100,0.25625
132,,100,0.25875
133,,100,0.24875
133,,100,0.25375
133,,100,0.25125
134,,100,0.25125
134,,100,0.24875
134,,100,0.2575
135,,100,0.2475
135,,100,0.2425
135,,100,0.25
136,,100,0.245
136,,100,0.24375
136,,100,0.25
137,,100,0.23625
137,,100,0.24
137,,100,0.24125
138,,100,0.23875
138,,100,0.2375
138,,100,0.23375
139,,100,0.23375
139,,100,0.235
139,,100,0.235
140,,100,0.225
140,,100,0.2275
140,,100,0.23
141,,100,0.23125
141,,100,0.225
141,,100,0.2225
142,,100,0.22125
142,,100,0.2275
142,,100,0.2225
143,,100,0.2225
143,,100,0.2175
143,,100,0.2225
144,,100,0.2125
144,,100,0.21125
144,,100,0.21375
145,,100,0.21875
145,,100,0.215
145,,100,0.20875
146,,100,0.20625
146,,100,0.20625
