Number of Cars,Flux Marker Position,Traffic Light Time,Average Flux
1,,400,0.0125
1,,400,0.0125
1,,400,0.0125
2,,400,0.02625
2,,400,0.025
2,,400,0.025
3,,400,0.04
3,,400,0.03875
3,,400,0.03875
4,,400,0.05125
4,,400,0.0525
4,,400,0.05125
5,,400,0.0625
5,,400,0.06375
5,,400,0.06375
6,,400,0.075
6,,400,0.07625
6,,400,0.07625
7,,400,0.0875
7,,400,0.09125
7,,400,0.08875
8,,400,0.1025
8,,400,0.10375
8,,400,0.10375
9,,400,0.1125
9,,400,0.1175
9,,400,0.11375
10,,400,0.1275
10,,400,0.1275
10,,400,0.1275
11,,400,0.14
11,,400,0.14125
11,,400,0.14
12,,400,0.15125
12,,400,0.1525
12,,400,0.1525
13,,400,0.1675
13,,400,0.16625
13,,400,0.165
14,,400,0.18
14,,400,0.17875
14,,400,0.17625
15,,400,0.19
15,,400,0.19375
15,,400,0.19
16,,400,0.2025
16,,400,0.20375
16,,400,0.205
17,,400,0.2175
17,,400,0.215
17,,400,0.21625
18,,400,0.22875
18,,400,0.2275
18,,400,0.225
19,,400,0.24
19,,400,0.2425
19,,400,0.24125
20,,400,0.25625
20,,400,0.255
20,,400,0.25125
21,,400,0.26625
21,,400,0.2675
21,,400,0.2675
22,,400,0.275
22,,400,0.28
22,,400,0.2775
23,,400,0.29125
23,,400,0.2925
23,,400,0.29
24,,400,0.30375
24,,400,0.30125
24,,400,0.30375
25,,400,0.31625
25,,400,0.31625
25,,400,0.31125
26,,400,0.32625
26,,400,0.3275
26,,400,0.32875
27,,400,0.33625
27,,400,0.335
27,,400,0.33375
28,,400,0.3525
28,,400,0.34625
28,,400,0.35
29,,400,0.35375
29,,400,0.3625
29,,400,0.35375
30,,400,0.37125
30,,400,0.36125
30,,400,0.36625
31,,400,0.35625
31,,400,0.35
31,,400,0.37
32,,400,0.35875
32,,400,0.35625
32,,400,0.3675
33,,400,0.35125
33,,400,0.3625
33,,400,0.34
34,,400,0.355
34,,400,0.355
34,,400,0.345
35,,400,0.34625
35,,400,0.34625
35,,400,0.35125
36,,400,0.33375
36,,400,0.34875
36,,400,0.3425
37,,400,0.33875
37,,400,0.35375
37,,400,0.34875
38,,400,0.3425
38,,400,0.3525
38,,400,0.3525
39,,400,0.3525
39,,400,0.3375
39,,400,0.35625
40,,400,0.34
40,,400,0.3425
40,,400,0.34375
41,,400,0.35
41,,400,0.34625
41,,400,0.33875
42,,400,0.35375
42,,400,0.3325
42,,400,0.34875
43,,400,0.3425
43,,400,0.345
43,,400,0.34375
44,,400,0.3375
44,,400,0.33875
44,,400,0.33375
45,,400,0.34375
45,,400,0.34375
45,,400,0.35
46,,400,0.34
46,,400,0.33375
46,,400,0.35
47,,400,0.345
47,,400,0.3425
47,,400,0.3425
48,,400,0.32625
48,,400,0.335
48,,400,0.3425
49,,400,0.33625
49,,400,0.34625
49,,400,0.33875
50,,400,0.33125
50,,400,0.3425
50,,400,0.33375
51,,400,0.32125
51,,400,0.3325
51,,400,0.34375
52,,400,0.32875
52,,400,0.32625
52,,400,0.32875
53,,400,0.33
53,,400,0.32875
53,,400,0.34125
54,,400,0.33125
54,,400,0.3375
54,,400,0.33625
55,,400,0.325
55,,400,0.33375
55,,400,0.3275
56,,400,0.3275
56,,400,0.32625
56,,400,0.32375
57,,400,0.32
57,,400,0.3275
57,,400,0.32375
58,,400,0.32875
58,,400,0.3325
58,,400,0.33
59,,400,0.31875
59,,400,0.32875
59,,400,0.31
60,,400,0.3275
60,,400,0.315
60,,400,0.33375
61,,400,0.31625
61,,400,0.325
61,,400,0.3275
62,,400,0.32375
62,,400,0.31875
62,,400,0.30875
63,,400,0.325
63,,400,0.3225
63,,400,0.32125
64,,400,0.32625
64,,400,0.32125
64,,400,0.315
65,,400,0.3175
65,,400,0.32625
65,,400,0.32375
66,,400,0.31875
66,,400,0.31375
66,,400,0.32
67,,400,0.31625
67,,400,0.31125
67,,400,0.3225
68,,400,0.3175
68,,400,0.31375
68,,400,0.32375
69,,400,0.3175
69,,400,0.3175
69,,400,0.3175
70,,400,0.32375
70,,400,0.3125
70,,400,0.3125
71,,400,0.3075
71,,400,0.30875
71,,400,0.31
72,,400,0.30625
72,,400,0.31125
72,,400,0.3075
73,,400,0.3075
73,,400,0.30375
73,,400,0.30625
74,,400,0.3075
74,,400,0.3025
74,,400,0.3
75,,400,0.3075
75,,400,0.30875
75,,400,0.305
76,,400,0.3025
76,,400,0.3075
76,,400,0.3075
77,,400,0.30625
77,,400,0.3075
77,,400,0.31
78,,400,0.29875
78,,400,0.3025
78,,400,0.29625
79,,400,0.30125
79,,400,0.30375
79,,400,0.29875
80,,400,0.30375
80,,400,0.29875
80,,400,0.2975
81,,400,0.29375
81,,400,0.2975
81,,400,0.3025
82,,400,0.2925
82,,400,0.295
82,,400,0.2975
83,,400,0.29375
83,,400,0.295
83,,400,0.2925
84,,400,0.295
84,,400,0.29
84,,400,0.29625
85,,400,0.295
85,,400,0.30125
85,,400,0.29375
86,,400,0.29375
86,,400,0.29375
86,,400,0.285
87,,400,0.29125
87,,400,0.28875
87,,400,0.28625
88,,400,0.2875
88,,400,0.28875
88,,400,0.2875
89,,400,0.2875
89,,400,0.2875
89,,400,0.2925
90,,400,0.2875
90,,400,0.285
90,,400,0.29375
91,,400,0.2925
91,,400,0.285
91,,400,0.285
92,,400,0.2875
92,,400,0.27875
92,,400,0.2825
93,,400,0.27875
93,,400,0.29
93,,400,0.2875
94,,400,0.27875
94,,400,0.28125
94,,400,0.28
95,,400,0.28125
95,,400,0.28125
95,,400,0.28375
96,,400,0.28125
96,,400,0.2775
96,,400,0.27875
97,,400,0.2775
97,,400,0.27875
97,,400,0.275
98,,400,0.27625
98,,400,0.27375
98,,400,0.28125
99,,400,0.2725
99,,400,0.2775
99,,400,0.27375
100,,400,0.2675
100,,400,0.26875
100,,400,0.2725
101,,400,0.26625
101,,400,0.26875
101,,400,0.2675
102,,400,0.2675
102,,400,0.2675
102,,400,0.26875
103,,400,0.2625
103,,400,0.2625
103,,400,0.26625
104,,400,0.26625
104,,400,0.26
104,,400,0.2625
105,,400,0.2525
105,,400,0.26125
105,,400,0.25625
106,,400,0.25125
106,,400,0.25875
106,,400,0.25625
107,,400,0.25375
107,,400,0.25
107,,400,0.25
108,,400,0.2475
108,,400,0.25125
108,,400,0.25
109,,400,0.24875
109,,400,0.245
109,,400,0.25125
110,,400,0.24625
110,,400,0.25
110,,400,0.24625
111,,400,0.24125
111,,400,0.2425
111,,400,0.2425
112,,400,0.24
112,,400,0.24125
112,,400,0.24125
113,,400,0.235
113,,400,0.24
113,,400,0.23625
114,,400,0.235
114,,400,0.23875
114,,400,0.23375
115,,400,0.235
115,,400,0.23125
115,,400,0.2325
116,,400,0.2275
116,,400,0.23125
116,,400,0.23
117,,400,0.22375
117,,400,0.2275
117,,400,0.22875
118,,400,0.22625
118,,400,0.2275
118,,400,0.22
119,,400,0.21875
119,,400,0.22125
119,,400,0.21625
120,,400,0.2275
120,,400,0.22
120,,400,0.21875
121,,400,0.21375
121,,400,0.2125
121,,400,0.21625
122,,400,0.2125
122,,400,0.215
122,,400,0.20625
123,,400,0.215
123,,400,0.20875
123,,400,0.20875
124,,400,0.20625
124,,400,0.21375
124,,400,0.21
125,,400,0.20875
125,,400,0.20375
125,,400,0.2075
126,,400,0.2075
126,,400,0.205
126,,400,0.20125
127,,400,0.205
127,,400,0.19875
127,,400,0.19875
128,,400,0.195
128,,400,0.20625
128,,400,0.195
129,,400,0.19625
129,,400,0.1975
129,,400,0.1975
130,,400,0.19375
130,,400,0.1975
130,,400,0.18875
131,,400,0.1875
131,,400,0.1925
131,,400,0.1875
132,,400,0.18625
132,,400,0.1875
132,,400,0.19125
133,,400,0.18
133,,400,0.19
133,,400,0.185
134,,400,0.175
134,,400,0.185
134,,400,0.1775
135,,400,0.1825
135,,400,0.17875
135,,400,0.18125
136,,400,0.1775
136,,400,0.17875
136,,400,0.17625
137,,400,0.175
137,,400,0.175
137,,400,0.175
138,,400,0.17375
138,,400,0.17
138,,400,0.16875
139,,400,0.17
139,,400,0.17
139,,400,0.16875
140,,400,0.1675
140,,400,0.17
140,,400,0.16375
141,,400,0.16
141,,400,0.165
141,,400,0.165
142,,400,0.16625
142,,400,0.1575
142,,400,0.16125
143,,400,0.15625
143,,400,0.1575
143,,400,0.1575
144,,400,0.1525
144,,400,0.15875
144,,400,0.15625
145,,400,0.155
145,,400,0.15125
145,,400,0.15375
146,,400,0.15
146,,400,0.15
146,,400,0.15125
147,,400,0.15
147,,400,0.14875
147,,400,0.15
148,,400,0.14125
148,,400,0.1425
148,,400,0.14375
149,,400,0.14375
149,,400,0.14
149,,400,0.13625
150,,400,0.14125
150,,400,0.14
150,,400,0.14375
151,,400,0.13625
151,,400,0.1375
151,,400,0.13625
152,,400,0.135
152,,400,0.12875
152,,400,0.13375
153,,400,0.1275
153,,400,0.1325
153,,400,0.13
154,,400,0.13125
154,,400,0.12875
154,,400,0.13
155,,400,0.12875
155,,400,0.1275
155,,400,0.12875
156,,400,0.12375
156,,400,0.12875
156,,400,0.125
157,,400,0.12
157,,400,0.11875
157,,400,0.11875
158,,400,0.12
158,,400,0.11625
158,,400,0.1175
159,,400,0.11375
159,,400,0.11375
159,,400,0.115
160,,400,0.11125
160,,400,0.11375
160,,400,0.115
161,,400,0.11125
161,,400,0.11
161,,400,0.1125
162,,400,0.10125
162,,400,0.1075
162,,400,0.10375
163,,400,0.1075
163,,400,0.1075
163,,400,0.1075
164,,400,0.1025
164,,400,0.1
164,,400,0.10375
165,,400,0.10125
165,,400,0.1025
165,,400,0.09625
166,,400,0.0975
166,,400,0.10125
166,,400,0.0975
167,,400,0.08875
167,,400,0.09625
167,,400,0.0925
168,,400,0.09
168,,400,0.08875
168,,400,0.08375
169,,400,0.08625
169,,400,0.08875
169,,400,0.0875
170,,400,0.085
170,,400,0.0825
170,,400,0.08375
171,,400,0.08375
171,,400,0.08125
171,,400,0.08
172,,400,0.08625
172,,400,0.0775
172,,400,0.07875
173,,400,0.07375
173,,400,0.0725
173,,400,0.08125
174,,400,0.07375
174,,400,0.075
174,,400,0.07375
175,,400,0.07
175,,400,0.07
175,,400,0.07
176,,400,0.07125
176,,400,0.06875
176,,400,0.065
177,,400,0.06625
177,,400,0.06625
177,,400,0.06375
178,,400,0.0625
178,,400,0.0625
178,,400,0.06625
179,,400,0.06
179,,400,0.05875
179,,400,0.06
180,,400,0.05875
180,,400,0.05375
180,,400,0.06125
181,,400,0.05375
181,,400,0.05125
181,,400,0.05375
182,,400,0.0525
182,,400,0.0525
182,,400,0.05125
183,,400,0.04875
183,,400,0.05
183,,400,0.04625
184,,400,0.04875
184,,400,0.0425
184,,400,0.04375
185,,400,0.0475
185,,400,0.0425
185,,400,0.04
186,,400,0.0425
186,,400,0.04375
186,,400,0.03875
187,,400,0.03625
187,,400,0.0375
187,,400,0.03625
188,,400,0.0325
188,,400,0.03375
188,,400,0.03375
189,,400,0.03
189,,400,0.0325
189,,400,0.0325
190,,400,0.02875
190,,400,0.02875
190,,400,0.02875
191,,400,0.0275
191,,400,0.02625
191,,400,0.025
192,,400,0.02625
192,,400,0.02125
192,,400,0.02625
193,,400,0.0175
193,,400,0.02125
193,,400,0.0225
194,,400,0.01625
194,,400,0.0175
194,,400,0.015
195,,400,0.0125
195,,400,0.01375
195,,400,0.0125
196,,400,0.01
196,,400,0.0125
196,,400,0.0125
197,,400,0.0075
197,,400,0.00875
197,,400,0.00875
198,,400,0.005
198,,400,0.0075
198,,400,0.00625
199,,400,0.0025
199,,400,0.0025
199,,400,0.0025
