Number of Cars,Flux Marker Position,Traffic Light Time,Average Flux
1,149,5,0.0225
1,149,5,0.02375
1,149,5,0.02375
2,149,5,0.045
2,149,5,0.0475
2,149,5,0.0475
3,149,5,0.07125
3,149,5,0.07
3,149,5,0.07
4,149,5,0.095
4,149,5,0.0925
4,149,5,0.095
5,149,5,0.11625
5,149,5,0.11625
5,149,5,0.11625
6,149,5,0.13875
6,149,5,0.1375
6,149,5,0.14
7,149,5,0.16
7,149,5,0.16125
7,149,5,0.1625
8,149,5,0.1825
8,149,5,0.18
8,149,5,0.18125
9,149,5,0.20375
9,149,5,0.20125
9,149,5,0.205
10,149,5,0.2275
10,149,5,0.22375
10,149,5,0.22375
11,149,5,0.2425
11,149,5,0.24375
11,149,5,0.24375
12,149,5,0.26375
12,149,5,0.2625
12,149,5,0.25625
13,149,5,0.27875
13,149,5,0.2825
13,149,5,0.27875
14,149,5,0.285
14,149,5,0.2925
14,149,5,0.29
15,149,5,0.28375
15,149,5,0.29
15,149,5,0.29
16,149,5,0.28625
16,149,5,0.2725
16,149,5,0.285
17,149,5,0.29
17,149,5,0.29125
17,149,5,0.285
18,149,5,0.29125
18,149,5,0.29375
18,149,5,0.28625
19,149,5,0.2825
19,149,5,0.29
19,149,5,0.2825
20,149,5,0.2875
20,149,5,0.29
20,149,5,0.29
21,149,5,0.29
21,149,5,0.29625
21,149,5,0.29125
22,149,5,0.29
22,149,5,0.29875
22,149,5,0.2875
23,149,5,0.29625
23,149,5,0.295
23,149,5,0.28875
24,149,5,0.295
24,149,5,0.2925
24,149,5,0.29125
25,149,5,0.29375
25,149,5,0.28375
25,149,5,0.28125
26,149,5,0.29375
26,149,5,0.29125
26,149,5,0.29375
27,149,5,0.29375
27,149,5,0.29375
27,149,5,0.29375
28,149,5,0.29125
28,149,5,0.29125
28,149,5,0.29875
29,149,5,0.295
29,149,5,0.29125
29,149,5,0.30375
30,149,5,0.29625
30,149,5,0.30375
30,149,5,0.29125
31,149,5,0.2925
31,149,5,0.2875
31,149,5,0.28875
32,149,5,0.28875
32,149,5,0.29375
32,149,5,0.29125
33,149,5,0.29
33,149,5,0.29
33,149,5,0.29375
34,149,5,0.2875
34,149,5,0.29625
34,149,5,0.30125
35,149,5,0.28875
35,149,5,0.29
